"filename", "language", "TypeScript", "TypeScript React", "SCSS", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/constants/paths.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/constants/tokens.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useAllowance.tsx", "TypeScript React", 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useDebounce.tsx", "TypeScript React", 0, 27, 0, 0, 0, 0, 0, 0, 1, 5, 33
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useInitialTheme.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useModal.tsx", "TypeScript React", 0, 13, 0, 0, 0, 0, 0, 0, 3, 6, 22
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useOnClickOutside.tsx", "TypeScript React", 0, 26, 0, 0, 0, 0, 0, 0, 1, 7, 34
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/usePoolStates.tsx", "TypeScript React", 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/usePopper.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 0, 3, 7, 48
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useSelect.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useTheme.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useTitle.tsx", "TypeScript React", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/hooks/useVeCSMStates.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/index.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/DAO/DAO.module.scss", "SCSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/DAO/DAO.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/Home/Home.module.scss", "SCSS", 0, 0, 115, 0, 0, 0, 0, 0, 0, 16, 131
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/Home/Home.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/Pool/Pool.module.scss", "SCSS", 0, 0, 99, 0, 0, 0, 0, 0, 0, 27, 126
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/Pool/Pool.tsx", "TypeScript React", 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/Swap/Swap.module.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/Swap/Swap.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/VeCSM/VeCSM.module.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/VeCSM/VeCSM.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/pages/index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/store/index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/store/slicers/pool.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/store/slicers/theme.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/store/slicers/veCSM.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/styles/colors.scss", "SCSS", 0, 0, 296, 0, 0, 0, 0, 0, 50, 53, 399
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/styles/fonts.scss", "SCSS", 0, 0, 45, 0, 0, 0, 0, 0, 0, 9, 54
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/styles/index.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/styles/shadows.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/types/network.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/types/swap.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/types/theme.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/types/token.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/ui/Button/Button.module.scss", "SCSS", 0, 0, 142, 0, 0, 0, 0, 0, 0, 38, 180
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/ui/Button/Button.tsx", "TypeScript React", 0, 81, 0, 0, 0, 0, 0, 0, 0, 5, 86
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/ui/Container/Container.module.scss", "SCSS", 0, 0, 67, 0, 0, 0, 0, 0, 0, 11, 78
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/ui/Container/Container.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/Users/alimsahin/Desktop/alim2.0/cashmere-frontend/src/ui/Icon/Icon.module.scss", "SCSS", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
